flat_id;period;cold_water;hot_water;power_supply;sewage
1155701;01.09.2024;11,33;0,27716;212;11,33
1155701;01.10.2024;9,43;0,27065;138;9,43
1155702;01.08.2024;6,9;0,15614;112;6,9
1155702;01.09.2024;13,1;0,30578;125;13,1
1155702;01.10.2024;5,9;0,13012;103;5,9
1155703;01.08.2024;16,9333;0,15506;94,33;16,9333
1155703;01.09.2024;5,557;0,14716;95,41;5,557
1155703;01.10.2024;4,2075;0,1106;68;4,2075
1155705;01.08.2024;4,972;0,00794;0,221;4,972
1155705;01.09.2024;5,1771;0,02128;0,21;5,1771
1155705;01.10.2024;5,1771;0,02128;0,21;5,1771
1155706;01.08.2024;8;0,13012;99;8
1155706;01.09.2024;8;0,13012;113;8
1155706;01.10.2024;8;0,13012;98;8
1155707;01.08.2024;14;0,39036;124;14
1155707;01.09.2024;16;0,45542;131;16
1155707;01.10.2024;8,98;0,25959;137;8,98
1155708;01.08.2024;0,5;0,01302;35;0,5
1155708;01.09.2024;0,4;0,01302;40;0,4
1155708;01.10.2024;4,8;0,05205;90;4,8
1155709;01.08.2024;17,72;0,52178;164;17,72
1155709;01.09.2024;17,72;0,52178;164;17,72
1155709;01.10.2024;17,72;0,52178;164;17,72
1155710;01.08.2024;5,5;0,08458;53;5,5
1155710;01.09.2024;5,7;0,12361;54;5,7
1155710;01.10.2024;6,2;0,13663;60;6,2
1155711;01.08.2024;5,1999;0,26089;117,33;5,1999
1155711;01.09.2024;6,182;0,26089;114,457;6,182
1155711;01.10.2024;5,21;0,26089;107;5,21
1155712;01.08.2024;16;0,36433;206;16
1155712;01.09.2024;15,4;0,37735;189;15,4
1155712;01.10.2024;14,9;0,33831;190;14,9
1155715;01.08.2024;21,2;0,40337;228;21,2
1155715;01.09.2024;22,3;0,46192;248;22,3
1155715;01.10.2024;21,6;0,50747;222;21,6
1155716;01.08.2024;32;0,78072;133;32
1155716;01.09.2024;33;0,71566;141;33
1155716;01.10.2024;32,0432;0,7084;142;32,0432
1155717;01.08.2024;4,2;0,05855;90;4,2
1155717;01.09.2024;4,3;0,05205;93;4,3
1155717;01.10.2024;5;0,07807;97;5
1155719;01.08.2024;13;0,3253;85;13
1155719;01.09.2024;16;0,39036;89;16
1155719;01.10.2024;16;0,39036;82;16
1155720;01.08.2024;14;0,52048;92;14
1155720;01.09.2024;14;0,58554;77;14
1155720;01.10.2024;11;0,26024;80;11
1155721;01.08.2024;0;0;0;0
1155721;01.09.2024;0;0;0;0
1155721;01.10.2024;0;0;0;0
1155722;01.08.2024;8,86;0,26089;132;8,86
1155722;01.09.2024;8,86;0,26089;132;8,86
1155722;01.10.2024;8,86;0,26089;132;8,86
1155723;01.08.2024;12,8;0,37735;158;12,8
1155723;01.09.2024;11,3;0,34481;126;11,3
